x,Video Title,Video Reference,Priority Script ,Verbal Hook,Text hook,Caption,Hashtags,Poll Topic,Date recorded,Script,Editing ,Video link,Approved ,With captions,Thumbnail link,Charlotte Socials,,,,View,Like,Comment,Post to socials,Date posted (Pie),Date posted (Char),SEG sales,Date posted (PodCast),Carousel,Carousel doc/ Story ,Figma image files,Carousel Posted,,Video key feedback,Date posted (Char),Date posted (Pie)
Tax tip / how to,10. Making the Most of Tax-Free Allowances,V10,FALSE,Using your tax-free allowances?,Maximise your tax-free allowances,Make the most of your tax-free allowances and keep more money in your pocket!,#TaxFree #UKTax #FinanceTips #Money #Wealth,Do you use your tax-free allowances?,14/08/24,Scripts,,https://drive.google.com/file/d/1JYz3a_j2GacLJtjCi6YNOqejl3K7E1d1/view?usp=drivesdk,TRUE,V10 captioned,V10,TRUE,TRUE,FALSE,FALSE,,,,https://docs.google.com/document/d/1FTEUXtt9qrHiEkunt7szWPOBVdHYAVJrLJhiArb6Y1Q/edit?usp=drivesdk,1/2/2025,12/14/2024,FALSE,,TRUE,https://docs.google.com/document/d/1E9fxId1jzcgzbB6uXd7EiPJIo-LHm-7xo4FW1WnOd2c/edit?usp=sharing,V10,TRUE,FALSE,,V10,
Tax tip / how to,My Top Tips for Lowering Your UK Tax Bill,V11,FALSE,My top tips for lowering your UK tax bill,5 Essential Tax Tips You’re Probably Missing,Lower your tax bill with these essential tips! 💼💰#taxsaving #UKtax #finance,#tax #moneysaving #finance #wealth #entrepreneurship #business,Are you missing out on any of these tax tips?,15/08/24,Scripts,,https://drive.google.com/file/d/1Rx6_mW8VwFoIAw_jxS9GdvJ1UqPI7n1e/view?usp=drivesdk,TRUE,https://app.submagic.co/view/d747a991-791f-42c7-b0d4-d5848afc3ad2,https://drive.google.com/file/d/1XVUfhtDAUFYzE5ZkuVOeTICbDRiAdoND/view?usp=drive_link,TRUE,TRUE,FALSE,FALSE,,,,https://docs.google.com/document/d/14trTX6fMqOrfMCxhZoHZkulBoOfSmTVDL3eA9-Q1C_Q/edit?usp=drivesdk,1/16/2025,12/18/2024,FALSE,,TRUE,https://docs.google.com/document/d/1wEQHWFJN8opIvE1Pumm8rmCXcQkyByh3xYb75zkqSd0/edit?usp=sharing,,FALSE,FALSE,,,
Tax tip / how to,5 Things I Learned from Doing Tax Returns Wrong,V12,FALSE,5 things I learned from doing my tax returns wrong,Avoid These Common Tax Mistakes,Learn from my mistakes! 🚫💸#taxmistakes #UKtax #business,#tax #finance #UKtax #entrepreneurship #taxrefund #money,Have you ever made any of these tax mistakes?,25/08/24,Scripts,,https://drive.google.com/file/d/14S94ngZ1Nig9M-sjJNB_jAMgNZgDsBnr/view?usp=drivesdk,TRUE,V12 captioned ,V12,TRUE,TRUE,FALSE,FALSE,,,,https://docs.google.com/document/d/1gpDmrk_yDveI-wFjPPFz_bxJUzxI9COCfwfM8fCY6Eo/edit?usp=drivesdk,1/20/2025,12/19/2024,FALSE,,TRUE,https://docs.google.com/document/d/15TDilm6zCMapPirnzIfmARRqDsH9Syt_W_1p6OHQSpM/edit?usp=sharing,V12,FALSE,TRUE,carousel,,2/18/2025
Tax tip / how to,How to Maximise Your Tax Refund,V13,FALSE,How to get better at maximising your tax refund,Simple Tricks to Maximise Your Tax Refund 💸,Maximise your tax refund with these tips!,#taxrefund #taxhacks #UKtax #tax #finance #wealth #business #money #taxrefund,Do you know how to maximise your tax refund?,16/08/24,Scripts,,https://drive.google.com/file/d/1HUFgrdVapaI0TaVGHd_K7BN49Mxg5k0D/view?usp=drivesdk,TRUE,V13 captioned,V13,TRUE,FALSE,FALSE,FALSE,,,,,,1/1/2025,FALSE,,TRUE,https://docs.google.com/document/d/1mjcall1dIavs0O6Kcuin7Qq_dod-97OLckxzbncg72M/edit?usp=sharing,V13,FALSE,TRUE,,,3/11/2025
Tax tip / how to,Stop Overpaying HMRC,V14,FALSE,3 things you need to stop doing if you want to reduce your HMRC payments,Stop Overpaying HMRC—Fix These Mistakes Now!,Are you overpaying? Find out how to save 💼💸#taxsaving #HMRC #UKtax,#tax #moneysaving #finance #entrepreneurship #wealth #HMRC,Do you think you're overpaying HMRC?,16/08/24,Scripts,,https://drive.google.com/file/d/1BnmPPkr-bvroItxUOaSarcMWQVZ5sN6I/view?usp=drivesdk,TRUE,V14 - captioned,V14,TRUE,FALSE,FALSE,FALSE,,,,,,1/3/2025,FALSE,,TRUE,https://docs.google.com/document/d/1ZnyKdhr9Hx6v8YarLNy7dfi-5kvJB-rNh6OAzMgaXKk/edit?usp=sharing,Carousel V14,FALSE,TRUE,,,3/4/2025
Tax tip / how to,Save Thousands Without Breaking the Law,V15,FALSE,How I saved thousands on my taxes without breaking the law,How I Saved Thousands in Taxes Legally,Legal tax savings tips you need to know 💼💰#taxsavings #UKtax #finance,#tax #business #wealth #money #entrepreneurship #finance #taxrefund,Are you making the most of legal tax savings?,16/08/24,Scripts,,https://drive.google.com/file/d/16Gro6sCH87pHwbNVs-8kMIGO8jBxVFYo/view?usp=drivesdk,TRUE,V15 - captioned,V15,TRUE,FALSE,FALSE,FALSE,,,,,,12/25/2024,FALSE,,TRUE,https://docs.google.com/document/d/1UJbtUjrShx546vWzKO8NVT4mZ15hg3Cj0wVfs8ejPQc/edit?usp=sharing,V15,FALSE,TRUE,,,3/25/2025
Tax tip / how to,Common Deduction Mistakes,V16,FALSE,Stop complaining about your tax bill if you’re still missing these deductions,You’re Missing Out on These Tax Deductions 💸,Don’t miss these crucial tax deductions! 🚫💰#taxdeductions #UKtax #finance,#tax #moneysaving #business #taxrefund #finance #UKtax,Have you claimed all possible deductions?,19/08/24,Scripts,,https://drive.google.com/file/d/1rCHR0P0APiDFtCiAz-fqIi-vR2xPp8kB/view?usp=drivesdk,TRUE,V16-captioned,V16,TRUE,FALSE,FALSE,FALSE,,,,,5/27/2025,12/27/2024,FALSE,,TRUE,https://docs.google.com/document/d/1ZZeVYzFh8mlJHge3lZCGeF6jgOPNkWCVzKHsr4p9_NE/edit?usp=sharing,V16,FALSE,TRUE,,,4/1/2025
Tax tip / how to,Simple Strategies for Maximum Tax Refund,V17,FALSE,Steal my secret strategy to getting the highest tax refund possible,My Secret Strategy to Maximise Your Tax Refund 💰,Maximise your tax refund with these tips! 💸#taxhacks #taxrefund #UKtax,#tax #finance #taxrefund #entrepreneurship #money #business #wealth,Do you know the secret to maximising refunds?,19/08/24,Scripts,,https://drive.google.com/file/d/1C3Qa9hw28uMCykTiY8UrwFn_mgC4tjZt/view?usp=drivesdk,TRUE,v17 carousel,,TRUE,FALSE,FALSE,FALSE,,,,,6/3/2025,1/9/2025,FALSE,,FALSE,https://docs.google.com/document/d/1yBm9uzg9oKicJT2rUTsDrPq1-ta9OZcF-e54S6fLrqw/edit?usp=sharing,v17 carousel,FALSE,TRUE,,,6/3/2025
Tax tip / how to,Fastest Way to Reduce Tax Liability,V18,FALSE,The fastest way to legally reduce your tax liability in the UK,Fastest Way to Reduce Your UK Tax Liability 🚀,Save on your taxes—fast and legal! 💼💸#taxsaving #UKtax #wealth #business,#tax #moneysaving #finance #business #entrepreneurship #wealth,Are you interested in reducing your tax liability?,20/08/24,Scripts,,https://drive.google.com/file/d/1ajUcfWeS3k83YmzauZBQHpwlZJq3Dxlh/view?usp=drivesdk,TRUE,v18 carousel,,TRUE,FALSE,FALSE,FALSE,,,,,,,FALSE,,FALSE,https://docs.google.com/document/d/1ZCEb2qdiTc-1UFWNiib8UEyvsLDCvNWx-aZIc7g7d_s/edit?usp=sharing,v18 carousel,FALSE,TRUE,,,6/10/2025
Tax tip / how to,Learn These Tax Tricks in 5 Seconds,V19,FALSE,"It took me 10 years to learn these tax-saving tricks, but I’ll teach you in 5 seconds",10 Years of Tax Knowledge in Just 5 Seconds!,Save big with these quick tax tips! 💼💸#taxsavings #UKtax #finance,#tax #business #finance #moneysaving #entrepreneurship #taxrefund,Can you learn these tips in 5 seconds?,20/08/24,Scripts,,https://drive.google.com/file/d/1KeUEQCDeU_ZZn3h9MBkTe5Hu1T_AFzQ8/view?usp=drivesdk,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,,FALSE,https://docs.google.com/document/d/13nj1M2Y5BBHB88sdlaOrdB6ld9YP04wHMMh9E7Cf5cM/edit?usp=sharing,v19 carousel,FALSE,TRUE,,,6/17/2025
Tax tip / how to,Ultimate Tax Deduction Checklist,V20,FALSE,The ultimate checklist to ensure you’re not overpaying on your taxes,Are You Overpaying Taxes? Here’s How to Check 📋💸,Ensure you’re not overpaying with this checklist! 💼#taxsaving #UKtax #finance,#tax #finance #business #moneysaving #entrepreneurship #taxrefund,Are you confident you're not overpaying?,20/08/24,Scripts,,https://drive.google.com/file/d/1sQKFPA1xRZCuDke1CLmpdoQ9T1c9EMPg/view?usp=drivesdk,TRUE,v20 carousel,,FALSE,TRUE,FALSE,FALSE,,,,,,27/2/2025,FALSE,,FALSE,https://docs.google.com/document/d/1yQr0yTcs5HncELf2zjpBYpHH8KDxgtY5jnBvmLoesmU/edit?usp=sharing,,FALSE,FALSE,,,
Tax tip / how to,Why You’re Overpaying on Business Car Taxes and How to Stop!,V21,FALSE,Stop overpaying tax on your business car! 🚗💰,Capital allowances: Are you claiming them right?,"Not claiming the right capital allowances could mean thousands in overpaid tax! If your business car is 0g/km CO2, you might write off 100% of its value! Don’t leave money on the table. 💸 Comment ‘TAX’ for free tax-saving tips!",#TaxHacks #CapitalAllowances #UKTax #BusinessTax #SelfEmployed #TaxSavings #FinanceTips,Are you confident you’re not overpaying on business car taxes?,20/08/24,Scripts,,https://drive.google.com/file/d/1mhy88aZpVpx0Extk9W08G4mfmz0RW760/view?usp=drivesdk,TRUE,V21,V21 T,TRUE,TRUE,FALSE,FALSE,,,,https://docs.google.com/document/d/1jRXwX7DVtzjqRMM6xXh177h8pLVjAqMGA8Yf92TXFSw/edit?usp=drivesdk,7/1/2025,,FALSE,,FALSE,https://docs.google.com/document/d/1Q0GCV2oZD0i6BYV9zc96NqdbhScyt_5tzaPRHfw3_EY/edit?usp=sharing,,FALSE,FALSE,,,
news,Top 5 HMRC News Updates This Week,V22,FALSE,"You won’t believe how a simple HMRC blunder saved a family over £500,000 in inheritance tax! But that’s just the beginning—HMRC is making headlines for cancelling a record-breaking 1.5 million late tax penalties and much more! Keep watching to find out all the details!","HMRC’s Latest Shocking Updates: Inheritance Tax, Penalties, and More!","In this week's top 5 HMRC news updates, we cover everything from a £500k tax-saving blunder to 1.5 million cancelled late penalties! Get the full scoop and learn how these changes could impact your finances. 💰 #TaxSaving #FinanceTips #HMRCNews #BusinessUpdates #WealthManagement",#money #finance #tax #wealth #inheritancetax #hmrcblunder #business #entrepreneurship #wealthmanagement #taxpenalties #hmrc,Do you think HMRC's recent actions—like cancelling penalties—are justified or concerning?,,Scripts,,,TRUE,V22 Carousel,,FALSE,TRUE,FALSE,FALSE,,,,,7/8/2025,,FALSE,,FALSE,https://docs.google.com/document/d/1qyDTfVCIgMNjNE6hW5g-N19-rk1kU1GTaptEY1Wytf0/edit?usp=sharing,,FALSE,FALSE,,,
Tax tip / how to,3 Things to Do Before Filing Your Tax Return,V23,FALSE,Are you making these tax mistakes?,3 Critical Steps Before Filing Your Tax Return,Don’t file without these tips! Comment 'tax' for more info.,#taxes #money #finance #taxreturn #entrepreneurship #wealth #taxsavings,Do you file your taxes early or late?,21/08/24,Scripts,,https://drive.google.com/file/d/1T2HsZ19jJHrInJNaK8uudkOxphARKu0u/view?usp=drivesdk,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,,FALSE,https://docs.google.com/document/d/1jUX7zomdOW42wm9lXKtC3kaxF-cDA7Sr94g3sdrxB8M/edit?usp=sharing,v23 carousel,FALSE,FALSE,,,7/15/2025
Tax tip / how to,How to Get the Most from Your Personal Allowance,V24,FALSE,Are you wasting your personal allowance?,How to Maximise Your Personal Allowance This Year,Don’t waste your allowance! Comment 'tax' for more info.,#taxes #money #finance #personalallowance #entrepreneurship #wealth #taxsavings,Did you claim your full personal allowance?,21/08/24,Scripts,,https://drive.google.com/file/d/1sA8M2Ze4V8mCyISpqaSIzvchv_AvrWyd/view?usp=drivesdk,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,,TRUE,https://docs.google.com/document/d/1SWco7dWfqDmWhAuI479lMB8jUgoI0uiFS7NX_zGICWQ/edit?usp=sharing,v24 carousel,FALSE,TRUE,,,7/22/2025
Tax tip / how to,The Common Self-Assessment Mistake That Costs You £100,V25,FALSE,This £100 mistake could be costing you!,Common Self-Assessment Mistake That Costs £100,Avoid this costly mistake! Comment 'tax' for more info.,#selfassessment #taxes #money #finance #entrepreneurship #wealth #taxsavings,Have you ever been fined for a tax mistake?,21/08/24,Scripts,,https://drive.google.com/file/d/1sA8M2Ze4V8mCyISpqaSIzvchv_AvrWyd/view?usp=drivesdk,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,,TRUE,https://docs.google.com/document/d/1_6h6O1CTM1O0VJ7nDrYWroejmXVlF4-eSCqCQ8IoDtI/edit?usp=sharing,v25 carousel,FALSE,TRUE,,,7/29/2025
Tax tip / how to,How to Reduce Your Tax Bill with Pension Contributions,V26,FALSE,Want to cut your tax bill and save for retirement?,Cut Your Tax Bill with Pension Contributions,Save on taxes and build your pension! Comment 'tax' for more.,#taxes #money #finance #pension #entrepreneurship #wealth #taxsavings #taxreturn,Do you contribute to a pension?,21/08/24,Scripts,,https://drive.google.com/file/d/1kEcI95k1isJUyCPR1odv6mJzkBQyo3Qd/view?usp=drivesdk,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,,FALSE,https://docs.google.com/document/d/14Ji9hMhWLp0hdKgQUIIQfcQDarjjLR07DBqoxC3oum0/edit?usp=sharing,v26 carousel,FALSE,TRUE,,,8/5/2025
Tax tip / how to,The Secret to Getting a Bigger Tax Refund,V27,FALSE,Unlock a bigger tax refund with this secret!,The Secret to a Bigger Tax Refund,Want a bigger refund? Comment 'tax' for the secret!,#taxes #money #finance #taxrefund #entrepreneurship #wealth #taxsavings,How much was your last tax refund?,21/08/24,Scripts,,https://drive.google.com/file/d/1LaQ-6hYQPxY6NOV5-8yTHLxjOl557ta2/view?usp=drivesdk,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,,FALSE,https://docs.google.com/document/d/1uWhIZnQmQriR2kMfCIWjVNhbBURLwgIBgpVsD-TuNXs/edit?tab=t.0,V27,FALSE,TRUE,,,8/5/2025
Tax tip / how to,How to Avoid Common Tax Return Errors,V28,FALSE,Are you making costly tax return errors?,Avoid Common Tax Return Errors and Save Money,Don’t make these errors! Comment 'tax' for tips.,#taxes #money #finance #taxreturn #entrepreneurship #wealth #taxsavings,Have you ever made a mistake on your tax return?,26/08/24,Scripts,,https://drive.google.com/file/d/18ADNMGe3Ss2keqwQiuhumU_vX0lKeXdV/view?usp=drivesdk,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,,FALSE,https://docs.google.com/document/d/1Fxew9eDDvLbfd60GuhsvAog1ma00KoMCLeUVSwXXYQA/edit?tab=t.0,,FALSE,FALSE,,,
Tax tip / how to,The Importance of Keeping Good Tax Records,V29,FALSE,Could your poor records cost you money?,The Importance of Good Tax Record Keeping,"Keep records, save money! Comment 'tax' for more info.",#taxes #money #finance #taxrecords #entrepreneurship #wealth #taxsavings,Do you keep detailed tax records?,26/08/24,Scripts,,https://drive.google.com/file/d/1hiKw1TubGwrqtoiIqdbj0uyIQEOL-1vX/view?usp=drivesdk,TRUE,,,FALSE,TRUE,FALSE,FALSE,,,,https://docs.google.com/document/d/1gDrU1kg7PLAfdvfBEz-Su2SBQ7uNeVcmoplP8O4t7J0/edit?usp=drivesdk,2/4/2025,,FALSE,,FALSE,,v29 carousel,FALSE,TRUE,,,8/19/2025
Tax tip / how to,3 Surprising Expenses You Can Claim on Your Taxes,V30,FALSE,Can you claim these expenses on your taxes?,3 Surprising Expenses You Can Claim on Taxes,Don’t miss out on these claims! Comment 'tax' for details.,#taxes #money #finance #taxexpenses #entrepreneurship #wealth #taxsavings,Have you claimed all your tax-deductible expenses?,26/08/24,Scripts,,https://drive.google.com/file/d/1JvX7aKDp-SKJvh4NtNWJARd1Hkdibt_d/view?usp=drivesdk,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,,
Tax tip / how to,How to Use Gift Aid to Reduce Your Tax Bill,V31,FALSE,Reduce your tax bill with Gift Aid!,How to Use Gift Aid to Lower Your Tax Bill,Save money with Gift Aid! Comment 'tax' for more tips.,#taxes #money #finance #giftaid #entrepreneurship #wealth #taxsavings,Do you donate to charity using Gift Aid?,05/09/24,Scripts,,https://drive.google.com/file/d/1DsAv-FwCh-wHdQxguAZX0PQ-btvlmrwo/view?usp=drivesdk,TRUE,V31,V31 T,TRUE,FALSE,FALSE,FALSE,,,,,,2/23/2025,FALSE,,FALSE,,,FALSE,FALSE,,,
Tax tip / how to,The Tax Benefits of Paying into an ISA,V32,FALSE,Could an ISA reduce your tax bill?,The Tax Benefits of Paying into an ISA,Use ISAs to save on taxes! Comment 'tax' for more info.,#taxes #money #finance #ISA #entrepreneurship #wealth #taxsavings,Do you use an ISA to save money?,05/09/24,Scripts,,https://drive.google.com/file/d/1xyYj_JWRTt-rj1baQE1HcTc7bs-Iyn4M/view?usp=drivesdk,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,,
Tax tip / how to,Top 3 Tax Deductions Most People Miss,V33,FALSE,Are you overpaying on your taxes?,3 Hidden Tax Deductions You Might Be Missing,Most people miss these tax deductions! Comment 'tax' to learn more.,#taxes #money #finance #entrepreneurship #wealth #taxsavings #taxdeductions,Have you ever missed a tax deduction?,,Scripts,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,,
Tax tip / how to,How to Maximise Your Tax Refund,V34,FALSE,Get ready to double your tax refund!,How to Double Your Tax Refund This Year!,Want a bigger tax refund? Here’s how. Comment 'tax' for tips.,#taxrefund #taxes #money #finance #taxsavings #wealth #entrepreneurship,Have you claimed a tax refund this year?,,Scripts,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,,
Tax tip / how to,"The Tax Tip That Saved My Client £1,000",V35,FALSE,"Imagine saving £1,000 on your tax bill!","The Tax Tip That Saved My Client £1,000",This tax tip could save you big money! Comment 'tax' for more tips.,#taxes #money #finance #taxsavings #wealth #entrepreneurship #business,How much do you want to save on your taxes?,,Scripts,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,,
Tax tip / how to,The Most Overlooked Tax Allowance You Should Claim,V36,FALSE,Are you missing out on free money?,Most Overlooked Tax Allowance You Should Claim,Don’t miss out on this allowance! Comment 'tax' to learn more.,#taxes #money #finance #wealth #taxallowance #taxsavings #entrepreneurship,Do you know what a tax allowance is?,,Scripts,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,,
Tax tip / how to,How To Avoid a £100 Late Filing Penalty,V37,FALSE,Avoid this £100 mistake on your taxes!,How to Avoid a £100 Late Filing Penalty,Don't let this mistake cost you £100. Comment 'tax' for more.,#taxes #money #finance #taxpenalty #wealth #entrepreneurship #business,Have you ever filed your taxes late?,,Scripts,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,,
Tax tip / how to,The One Thing You Need to Do Before Filing Your Taxes,V38,FALSE,This one thing can save you thousands on taxes!,The One Thing You Must Do Before Filing Taxes,Don’t file your taxes until you’ve done this. Comment 'tax' for tips.,#taxes #money #finance #taxsavings #wealth #entrepreneurship #business,Do you file your taxes early or at the deadline?,,Scripts,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,,
